DT,TOT
3/7/2020,3
3/8/2020,4
3/9/2020,9
3/10/2020,119
3/11/2020,119
3/12/2020,58
3/13/2020,17
3/14/2020,65
3/15/2020,37
3/16/2020,4
3/17/2020,9
3/18/2020,9
3/19/2020,8
3/20/2020,18
3/21/2020,5
3/22/2020,28
3/23/2020,4
3/24/2020,11
3/25/2020,19
3/26/2020,6
3/27/2020,30
3/28/2020,46
3/29/2020,72
3/30/2020,74
3/31/2020,57
4/1/2020,111
4/2/2020,124
4/3/2020,247
4/4/2020,315
4/5/2020,191
4/6/2020,266
4/7/2020,112
4/8/2020,186
4/9/2020,136
4/10/2020,216
4/11/2020,251
4/12/2020,252
4/13/2020,197
4/14/2020,282
4/15/2020,391
4/16/2020,560
4/17/2020,345
4/18/2020,440
4/19/2020,567
4/20/2020,519
4/21/2020,608
4/22/2020,623
4/23/2020,1006
4/24/2020,775
4/25/2020,742
4/26/2020,957
4/27/2020,677
4/28/2020,643
4/29/2020,845
4/30/2020,685
5/1/2020,776
5/2/2020,678
5/3/2020,640
5/4/2020,949
5/5/2020,829
5/6/2020,917
5/7/2020,1309
